epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1093.36,0.66984,0.55968,1.09671,0.81975,0.73199,0.79997,0.55842,1.11182,0.91064,1.47527,0.00331502,0.00331502,0.00331502
2,1894.87,0.69625,0.5853,1.10861,0.79286,0.74662,0.78487,0.53557,1.13986,0.93845,1.4953,0.00662641,0.00662641,0.00662641
3,3146.06,0.73618,0.61784,1.12574,0.76167,0.74171,0.7679,0.5147,1.17117,0.98094,1.5188,0.00991581,0.00991581,0.00991581
4,4079.8,0.8124,0.71155,1.17949,0.75224,0.6864,0.70659,0.45849,1.27,1.1001,1.6053,0.009901,0.009901,0.009901
5,5797.76,0.81217,0.72599,1.18044,0.7424,0.70916,0.73832,0.47463,1.2297,1.04929,1.53256,0.009868,0.009868,0.009868
6,6665.72,0.83545,0.74765,1.19632,0.75665,0.71098,0.75663,0.49634,1.1937,1.00864,1.51126,0.009835,0.009835,0.009835
7,7981.49,0.85452,0.78195,1.20775,0.71908,0.73726,0.76013,0.50631,1.14919,0.97936,1.47576,0.009802,0.009802,0.009802
8,8800.8,0.84953,0.77777,1.19798,0.73076,0.73323,0.75187,0.49463,1.17763,1.02429,1.49313,0.009769,0.009769,0.009769
9,10205.8,0.84435,0.7685,1.19671,0.78087,0.71695,0.7629,0.50235,1.18176,0.97442,1.48607,0.009736,0.009736,0.009736
10,11061.5,0.83863,0.76279,1.20059,0.81119,0.70227,0.77279,0.51022,1.17552,0.99268,1.48679,0.009703,0.009703,0.009703
11,11757.9,0.84614,0.76562,1.20358,0.72422,0.73922,0.75674,0.49999,1.19703,0.99128,1.50234,0.00967,0.00967,0.00967
12,12545.8,0.85033,0.76242,1.21279,0.79834,0.70152,0.77026,0.49613,1.19318,1.01875,1.52948,0.009637,0.009637,0.009637
13,13511.5,0.84524,0.75766,1.20375,0.78066,0.70663,0.7635,0.50359,1.17893,0.9815,1.50128,0.009604,0.009604,0.009604
